id	word	pos	date	period	cluster	target_indices	Targets	Context
1929-1965_kjemi_135	kjemi	NN	1929	1929-1965	0	144:149	kjemi	I tiden 1896—99 var han overkontrollør ved malt- og brennevinstilvirkningen, men forlot denne stilling da han fikk et ledig adjunktstipendium i kjemi ved Universitetet. R. blev derved satt i stand til å følge sine utpregede videnskapelige interesser og drog straks til Berlin, hvor han i et par år studerte organisk kjemi hos professor C. Liebermann.
1970-2015_kjemi_646	kjemi	NN	1970	1970-2015	0	84:89	kjemi	Naturfag. Det bør setjast i gang halvårskurs i dei tre fagområda biologi, fysikk og kjemi.
1970-2015_kjemi_438	kjemi	NN	1970	1970-2015	0	15:20	kjemi	Materiallaere, kjemi 1 » Kunst- og kulturhistorie 1 » Kroppsøving, anatomi, fysiologi ... 2 » Tilvalgsf ag 4 » I alt 40 timer Innen hovedfag: Hovedemne 16 timer Tilleggsemner 6 » i gjennomsnitt.
1970-2015_kjemi_870	kjemi	NN	1970	1970-2015	0	158:163	kjemi	Grunnhonorar for 3 partier Tillegg pr. parti utover 3 4. Tegneforming. (forming II) Grunnhonorar for 3 partier Tillegg pr. parti utover 3 s.Naturfag (fysikk, kjemi oq biologi) Ved ti i c J xuttaC Grunnhonorar for 3 klasser Tillegg pr. klasse utover 3 pr. fag. 80,- 6. Fys i k k Ved skoler fra og med 10 klasser Grunnhonorar for 3 klasser Tillegg pr. klasse utover 3 kr. 1 194, 80, 7. Biologi og kjemi
1970-2015_kjemi_206	kjemi	NN	1970	1970-2015	0	59:64	kjemi	Om dette skylles feil bruk tidligere, endringer i plantens kjemi gjennom tidene, geografiske forskjeller, endringer i sykdomsbildet, eller rett og slett at planten ikke har den virkning den tidliger ble tillagt, det vet vi ikke. 3. For en tredje gruppe planter er det oppdaget helt nye anvendelsesområder som tidligere var ukjent.
1970-2015_kjemi_617	kjemi	NN	1970	1970-2015	0	97:102	kjemi	"Det fremgår videre av studieplanene at opplegget for grunnfapene matematikk, fysikk, mekanikk og kjemi i store trekk er det samme for alle NTH f s studieretninger. Etter S.P. ,Andersen-komiteens forslag skal NTH i fremtiden konsentrere virksomheten om 2. avdelings- og ""post-graduate"" - undervisning med tilhørende forskning, og studenter fra tekniske faghøgskoler/distriktshøgskolers tekniske seksjon skal kunne opptas direkte i 2. avdeling ved NTH. Dette betyr at disse sistnevnte skoler, for at S.P."
1970-2015_kjemi_642	kjemi	NN	1970	1970-2015	0	98:103	kjemi	I Kristiansand er det samarbeidsprosjekt med omsyn til vidareutdanning for laerarar i matematikk, kjemi og engelsk.
1970-2015_kjemi_263	kjemi	NN	1970	1970-2015	0	79:84	kjemi	Men nå har det kommet inn et betydelig antall kvinner i linjer, og arkitekt og kjemi hadde i 1987 bare 37 prosent av alle kvinnene i teknologiske studier. Tabell 6.2: Teknologi-kandida ter Prosentandel menn og kvinner.
1970-2015_kjemi_621	kjemi	NN	1970	1970-2015	0	70:75	kjemi	Eksamen fra teknisk skoles kjemilinje eller tilsvarende utdanning med kjemi og kjemisk teknologi som fagområde, eventuelt metallurgi.
1970-2015_kjemi_97	kjemi	NN	1970	1970-2015	0	25:30	kjemi	Det gjelder Fakultet for kjemi og kjemisk teknologi (akvakultur og havbruk), Fakultet for bygningsingeniørfag (havbruk), Fakultet for maskinteknikk (havbruk og fiskeriteknologi), Fakultet for marin teknologi og Fakultet for elektro- og datateknikk.
1970-2015_kjemi_575	kjemi	NN	1970	1970-2015	0	306:311	kjemi	Tilsammen 21-22 vt. De siste emner er mest vesentlig som motiverende, og vil for potensielle biologi student er normalt vaere Spesiell botanikk eller zoologi, eller det kan vaere emner som bevisst velges som ledd i en plan for en bestemt studieretning, f. eks. fysikk og andre emner innenfor matematikk og kjemi.
1970-2015_kjemi_440	kjemi	NN	1970	1970-2015	0	516:521	kjemi	Integreres med fagtegning. b) Vaere inspirasjon til eksperiment direkte i materialer. c) Vaere inspirasjon til skisse til dekorasjon/ form for et bestemt formål. Oppgåver i å lage skisser og utkast til form/ dekorasjon for bestemte formål. Skissestudier av gjenstander/detaljer fra forskjellige stilperioder. Halvårskurs i tegning Timetall pr. uke Hovedfag med fagteori 22 timer Aktiviteter som prydsøm, veving 0.1. 6 » Norsk 2 » Samfunnskunnskap med religion og etikk 2 » Tekstilmateriallaere, tekstil- behandling, kjemi 1 » I alt 40 timer Faget omfatter grunnleggende innføring i de viktigste elementer i: Frihåndstegning, form/farge og komposisjon. Dessuten skrift, trykkteknikker og valgfrie aktiviteter som leire,- tre- og metallarbeid o. a. teknikker.
1929-1965_damp_79	damp	NN	1929	1929-1965	0	320:326	damp	Trondsdatter Fonnås søndre, og ved midtsommertid sover en hvithåret, tettfingret gutt i vuggen under de sotete slinder på Søstu Fonnås, mens Rønnaug frodig og frisk baerer vann fra brønn til fjøs og Knut driver med plogen øverst i Søstujordet der Bård brente bråte, så svetten triller nedover det brune, magre ansikt og damper av den ullgrå skjorten. Larne6ap var lorlanZt, 03 preBten 82 ikke Btort 6a knut korn. «Vette er noe ti6lig, min k)Xre knut,» 8a lian. knut 8a lieller ikke ztort. VIDDENS HERRER
1929-1965_damp_368	damp	NN	1929	1929-1965	0	240:244	damp	En sur røk velter op mot ham, men gjennem den ser han noen skikkelser springe som gale under sig. En fot vann ruller over dørken, og liver gang sleisene rykkes ut av fyren, faller asken ned i oversvømmelsen med en fresende lyd, mens en grå damp ryker op av vannet.
1929-1965_damp_394	damp	NN	1929	1929-1965	0	0:6	damp	Dampen stod av hestekroppene.
1929-1965_damp_102	damp	NN	1929	1929-1965	1	105:111	damp	Om en stund igjen hørte hun klamp nede paa veien som av hestedrifter: pilegrimmerne, som vendte hjem fra dampen og bryggen ! . . .
1929-1965_damp_161	damp	NN	1929	1929-1965	1	63:69	damp	Og han kjende sakte karane, — dei hadde jamt i det siste borda dampen med laksekassone sine. — Ja hadde der no vore bryggje uppmed land her, so vilde de ha sloppe å fylgja med til Reppen, let han — då dampen for framum Totlandsgrenda.
1929-1965_damp_306	damp	NN	1929	1929-1965	2	61:67	damp	Det stod nu vesentlig bare igjen å gjøre maskinen klar og få dampen op; dette arbeide gikk vi igang med allerede den 18. mai.
1929-1965_damp_16	damp	NN	1929	1929-1965	3	298:304	damp	Var det tenkelig ar hans medreisende kunde følge med i de russiske bemerkninger som blev vekslet mellem ham og hans kone? Men jeg beroliget ham med at jeg bare kunde noen få gloser, det endte i spøk. Trotsky fortalte ved frokosten om sin reise ved juletid for tyve år tilbake ombord i en italiensk damper pa vei fra Spania til De Forente Stater.
1929-1965_damp_256	damp	NN	1929	1929-1965	0	20:24	damp	Når blir vatnet til damp ?
1929-1965_damp_285	damp	NN	1929	1929-1965	0	84:89	damp	Dampen ledes inn, og trykket stiger og det stadig høiere enn den temperatur som ren damps trykk tilsvarer, så her kan man ikke klare sig uten et termometer.
1929-1965_damp_393	damp	NN	1929	1929-1965	0	130:136	damp	Det er vinter, og isen ligger blank på innsjøen. Bare lengst i syd der elven faller ut, er det en lang, apen stripe hvorfra tynne damper stiger op i vinterkulden. En «raide» eller rekke av reinsdyr med sine sleder kommer kjørende opover isen.
1929-1965_damp_442	damp	NN	1929	1929-1965	2	106:110	damp	Plan hadde bare å arbeide og ta i na, og det gjorde han som en kar. Hammer og slegge gikk i neven som med damp. I visse mater var han også blitt nokså trygg, for passet madam Holman så stritt på ham, så var dette også en sikkerhet mot at Silla tullet seg bort med andre.
1970-2015_damp_245	damp	NN	1970	1970-2015	0	165:169	damp	Organisk bundet kvikksølv oksyderes til to verdig kvikksølv i ioneform (Hg - Deretter reduseres kvikksølvet til elementaer tilstand med tinnklorid, og drives ut som damp ved hjelp av helium som baeregass.
1970-2015_damp_190	damp	NN	1970	1970-2015	0	224:228	damp	Hvert av kraftverkene antas, i henhold til søknaden, å ha et gjennomsnittlig årlig CO 2 -utslipp på 1,05 millioner tonn og et NOx-utslipp på 560 tonn. For Kårstøanlegget er det inngått avtale med Stat- pipe om leveranser av damp til gassbehandlings- anlegget.
1970-2015_damp_87	damp	NN	1970	1970-2015	0	712:716	damp	Installasjoner for bruk i fredstid Akkumulatoranlegg Omfang Plassering Ventilasjon 806.7 806.8 806.9 806.10 Vern av ladeinnretning 806.11 §808 Vern av kurser fra akkumulatorbatterier Eksplosjonsfarlige områder 808.0 Innledning 808.1 Inndeling av eksplosjonsfarlige områder 808.2 Beskyttelsesarter for utstyr for bruk i områdekategori a Gruppeinndeling 808.3 808.4 Maksimal overflatetemperatur - temperaturklasser Tenntemperatur 808.5 808.6 Godkjenning av inndeling av eksplosjonsfarlige områder Krav til elektriske anlegg i områdekategori a 808.7 808.8 Krav til elektriske anlegg i områdekategori b Krav til elektriske anlegg i områdekategori c og d 808.9 Vedl.l Vedl.2 Soneinndeling Gruppeinndeling av og visse data for en del gasser og damper Tenntemperatur og tetthet for en del støvskyer
1970-2015_damp_239	damp	NN	1970	1970-2015	0	99:103	damp	Luten inneholder forholdsvis store mengder med SO2, som en imidlertid relativt lett kan fjerne med damp.
1970-2015_damp_45	damp	NN	1970	1970-2015	3	133:137	damp	Et lite jorde vest for grensen mot Lille Oust. Ovre og nedre Mellemengene. Ostbya. Jordet vest for grensen mot Lille Oust. Veien fra damp skip sb ryggen og Bjbrnenga deler jordet. Ringerikshaugene.
1970-2015_damp_272	damp	NN	1970	1970-2015	0	57:61	damp	— Størrelsen på de beregnede kostnader for overføring av damp eller hetvann mellom Fiskaa Verk og Falconbridge er bedriftsøkonomisk konkurransedyktig sammenliknet med kostnader til egenprodusert varme fra elkraft eller olje.
1970-2015_damp_153	damp	NN	1970	1970-2015	0	157:161	damp	Områdekategori a er delt inn i følgende soner: - Sone 0: Områder hvor det uavbrutt eller i lange perioder forekommer en eksplosiv blanding av brennbar gass, damp eller svevende vaeskedråper og luft. - Sone 1 :
1970-2015_damp_17	damp	NN	1970	1970-2015	0	295:299	damp	Kravene som stilles til beregningsresultatene skal ifølge de amerikanske sikkerhetsforskriftene (6), som også anvendes i Europa, vise at: den beregnede høyeste kapslingstemperatur ikke overstiger 1 204° C. den beregnede oksydasjon av kapslingsmaterialet på grunn av kjemisk reaksjon med vann og damp ikke på noe sted overstiger 17 pst. av den opprinnelige veggtykkelsen på kapslingen. den beregnede hydrogenproduksjon på grunn av kjemisk reaksjon mellom kapslingsmaterialet og vann/damp ikke overstiger 1 pst. av den mengden som ville ha vaert produsert dersom alt kapslingsmaterialet hadde reagert. - beregnet deformasjon av kjernen ikke skal kunne forhindre kjøling. - etter en beregnet vellykket nødkjøling skal den beregnede kapslingstemperaturen forbli på et akseptabelt lavt nivå, og den varmen som fremdeles produseres skal kunne fjernes. Krav til beregningsmodeller Forskriftene krever en meget detaljert doku- mentasjon.
1970-2015_damp_78	damp	NN	1970	1970-2015	0	202:206	damp	Det er medisinsk bruk av planter som brukes übehandlet eller i konsentrater, avkok og essenser fra røtter, stengler, blader og frø. Metoden er beskrevet i punkt 6.3.9. - Inhalasjonsterapi er å inhalere damp med aromatiske oljer.
1970-2015_damp_319	damp	NN	1970	1970-2015	0	147:151	damp	Det er slik oppvarming som kan vaere aktuelt i Norge. Den industrielle bruk av jordvarmen ble innledet i 1840 da man begynte å utvinne borsyre fra damp som ble tatt opp fra borehull i Lardarello i Italia. Det var også her man begynte å lage el-kraft fra dampen i 1904.
1970-2015_damp_286	damp	NN	1970	1970-2015	0	285:289	damp	I den naermeste tiden etter en slik underjordisk eksplosjon, vil fjellet rett over eksplosjonsstedet kollapse og danne en «nedfallsøyle» hvor stein og fjellblokker faller ned på den størknede massen i eksplosjonshullet som derved ikke lenger er hermetisk lukket. Radioaktive gasser og damp vil da lett spre seg oppover i denne vertikale og langstrakte steinmassen.
1929-1965_plattform_17	plattform	NN	1929	1929-1965	1	82:91	plattform	Vi kjører videre ned gjennom fjellet og dukker frem i dagslyset igjen på en liten plattform helt nede i bunnen av revnen. Nu har vi den smekre dammen halvt lenende over hodene våre.
1929-1965_plattform_48	plattform	NN	1929	1929-1965	2	233:244	plattform	Jeg så n. Han strauk bortover gata der, han holdt sig der det var mørkest, han smatt inn i en port, jeg veit å dom kan finne n hen men jeg sier det ikke — Konstabelen kommer ulbake, han sliter sig fram til vogna, han stanser utenfor plattformen
1929-1965_plattform_24	plattform	NN	1929	1929-1965	1	6:15	plattform	Denne plattform — «shelfen» — utenfor kystene av Svalbard, Sibiria og Norge har han stu* dert gjennem mange år. Langs Sibirias kyst strekker den sig som en undersjøisk sokkel mang* foldige mil ut i havet, — dyb* den er ikke over 100 meter, — til den uventet bratt stuper ned til 3 å 4 tusen meters dyp. 4. juli 1910.
1929-1965_plattform_41	plattform	NN	1929	1929-1965	1	96:105	plattform	Overleben hvelver sig som et tak over blomstens indre organer, underleben blir derimot en slags plattform eller «landgangsbro», som insektene kan sette sig på når de kommer flyvende.
1929-1965_plattform_44	plattform	NN	1929	1929-1965	2	385:396	plattform	— Men ute stod natten og pisket min rute med sne. SOLDAG Idag er det sol over Moskva, så sneen i gatene bråner og kirkenes kupler star gylne og lyser på himlen som måner! Tverskaja, min deilige gate, og jeg, vi er begge litt øre. For nu er det våren som kommer med takskred og helstøvle-føre! Og derfor så jubler vi begge: Tverskaja med hele trafikken — og jeg med en ny liten vise pa plattformen her bakpå trikken!
1929-1965_plattform_5	plattform	NN	1929	1929-1965	2	175:184	plattform	Raven nådde en gitar med. Til hvad? Jo, det fikk vi snart greie på. Vi noldt jo i evigheter ved de fleste Bkittstasjoner, men der gikk det oss galant. Vi hadde siste vogn med plattform bak. Fjerde klasse var som en fraktvogn.
1929-1965_plattform_13	plattform	NN	1929	1929-1965	1	13:22	plattform	De reiser en plattform på 4 ben i mannshøide, legger maten på den og dekker godt over med granbar.
1929-1965_plattform_51	plattform	NN	1929	1929-1965	0	88:99	plattform	Sn 6o meters stigort kan drives på ca, 3 uker etteråt centerhullet er boret, (2 mann på plattformen og 1 på spillet).
1929-1965_plattform_29	plattform	NN	1929	1929-1965	1	140:149	plattform	Den KalleB «Katta» elter 6en tvBke denevneiBe pa slike Bmalort. Henr. Mathiesen har levert et riss av fortet, som danner en avlangfirkantet plattform omkring 22 m. lang og 12 — 13 m. bred. Fra Biskopstrede førte ifølge samme kilde en smukk, 3 meters vei op til skansen.
1929-1965_plattform_39	plattform	NN	1929	1929-1965	2	63:74	plattform	Nei nå må jeg forte mig! — En mager trettenårs tøsunge står på plattformen på den første tidlige morgentrikken som suser vestover. Den brune veska er ikke tom lenger, den svulmer av innhold, tøiet er naer på å revne, remmene omkring er spent i de ytterste hullene. Ta til dig veska! sier konduktøren, han er ikke mer enn et menneske, han er morgengretten. Men Matilde hører ikke godt, hun klemmer sig bak alle de skråtobakk-røkende arbeiderne som står der i blanke, svarte klaer på vei til verkstedene.
1970-2015_plattform_2572	plattform	NN	1970	1970-2015	0	15:26	plattform	Den tilpassede plattformen gis betegnelsen modifisert basisplattf orm.
1970-2015_plattform_124	plattform	NN	1970	1970-2015	0	12:23	plattform	Nedbrutt på plattformer er disse tallene vist i tabell 10.
1970-2015_plattform_2454	plattform	NN	1970	1970-2015	0	161:170	plattform	Det er derfor nødvendig at personellet gjennomgår en høy grad av spesialisering som setter dem best mulig i stand til å bekle en bestemt posisjon på den enkelte plattform SITUASJONSANALYSE - NORGE t»~»
1970-2015_plattform_1197	plattform	NN	1970	1970-2015	3	55:66	plattform	En fordel hadde den dog, man visste hvilke ideologiske plattformer de enkelte organer hadde. De hadde en identitet som gjorde det enkelt å forholde seg til deres utvalg av stoff og deres vinklinger i kommentarene. 126 Mange av mediene, og ikke minst de største, har idag en uklar aktøridentitet som kan gjøre det vanskelig å forholde seg til dem.
1970-2015_plattform_2106	plattform	NN	1970	1970-2015	0	29:40	plattform	Norsk eksport (unntatt skip, plattformer og råolje).
1970-2015_plattform_2765	plattform	NN	1970	1970-2015	0	74:85	plattform	Fritt i den store hallen står deler fra oljeinstallasjoner og modeller av plattformer i serier.
1970-2015_plattform_73	plattform	NN	1970	1970-2015	0	49:60	plattform	Den planlagte uttauingsvekten ble såvidt nådd da plattformen ble tauet ut fra Stord 3. mai 1977.
1970-2015_plattform_2243	plattform	NN	1970	1970-2015	0	54:65	plattform	Hele tiden ansatt hos Smedvig, på West Vanguard siden plattformen var ny. Ass. tårn- Smedvig mann, 24 år Boredekksmannkurs, tårnmannkurs.
1970-2015_plattform_2828	plattform	NN	1970	1970-2015	0	3:12	plattform	En plattform på britisk side (Magnusfeltet) er for tiden under konstruksjon for 180 m dybde. De betongplattformer som hittil er installert i Nordsjøen må alle betraktes som prototyper, da byggingen gikk så raskt at man ikke kunne innhente driftserfaringer fra de første plattformene.
1970-2015_plattform_2299	plattform	NN	1970	1970-2015	0	6:17	plattform	Slike plattformer og innretninger skal anses som skip i forhold til bl a sjølovens kapittel 10, men slik at krav i anledning av skade de volder kan begrenses til et fast beløp uansett innretningens størrelse.
1970-2015_plattform_0	plattform	NN	1970	1970-2015	0	172:183	plattform	Foreliggende del II presenterer resultatene av komiteens kartlegging av hendelsesforløpet ved de enkelte utbyggingsprosjekter på norsk sokkel, herunder også Murchison hvor plattformen riktignok ligger på britisk sokkel, men feltet strekker seg over på norsk side.
