id	Targets	Context	Definition	POS	Type	Real_Contexts	Generated_Definition
en.trial.38	chef	Third time he was out of luckHe tripped up and got cheffed	To stab with a knife , to shank .	verb	paraphrastic	Third time he was out of luckHe tripped up and got cheffed What is the definition of chef?	To slap or slap with a knife.
en.trial.39	vital	Challenger breathed two or three times with enormous gulps , his lungs roaring as he drew in the vital gas .	Necessary to the continuation of life ; being the seat of life ; being that on which life depends .	adjective	paraphrastic	Challenger breathed two or three times with enormous gulps , his lungs roaring as he drew in the vital gas . What is the definition of vital?	Of or pertaining to the body ; containing or containing the essential elements ; sustaining life.
en.trial.40	enduring	It could be only long years of privations and endurings of hardships that could enable the Esquimaux to traverse over those icy regions with the facilities they have learned to practise	endurance	noun	synonym/antonym-based	It could be only long years of privations and endurings of hardships that could enable the Esquimaux to traverse over those icy regions with the facilities they have learned to practise What is the definition of enduring?	The act of surviving or surviving something.
en.trial.41	mafia	the digital mafia	An entity which attempts to control a specified arena .	noun	hypernym-based	the digital mafia What is the definition of mafia?	A group of criminals who are involved in extortion and other illegal activities
en.trial.42	end-to-end	The end-to-end trip takes about forty minutes .	From one end to the other .	adjective	paraphrastic	The end-to-end trip takes about forty minutes . What is the definition of end-to-end?	Taking place at the end of, or at the end of, tenth or last tenth of, tenth or last tenth of, or the end of tenth or last tenth of, tenth or last ten
en.trial.43	overcall	Knowledge of the ultrasound findings is important , and appreciating the fetal ultrasound may often undercall or ( more often ) overcall anomalies .	To diagnose a condition that does not , in fact , exist .	verb	hypernym-based	Knowledge of the ultrasound findings is important , and appreciating the fetal ultrasound may often undercall or ( more often ) overcall anomalies . What is the definition of overcall?	To call too many times.
en.trial.44	boffin	— Well , last year I used to have a friend Charley [ Charley was in the top sets for English , mathematics and French ] but this year he does n't speak to me any more and every time I see him he 's hanging around with boffins like . When I go round to his house , now and again , he 's always got his ' O ' level and ' A ' level books open and he 's always concentrating on his work . Hanging around with boffins . / — What are boffins ? / — People who work . Stay in all the time . Never go out , go down the town or nothin . And always get good letters home and pats on the back by teachers .	A person with specialized knowledge or skills , especially one who is socially awkward ; an intellectual ; a smart person .	noun	hypernym-based	— Well , last year I used to have a friend Charley [ Charley was in the top sets for English , mathematics and French ] but this year he does n't speak to me any more and every time I see him he 's hanging around with boffins like . When I go round to his house , now and again , he 's always got his ' O ' level and ' A ' level books open and he 's always concentrating on his work . Hanging around with boffins . / — What are boffins ? / — People who work . Stay in all the time . Never go out , go down the town or nothin . And always get good letters home and pats on the back by teachers . What is the definition of boffin?	A person who is devoted to their field of study.
en.trial.45	fieldwork	Billy 's out building some fieldwork so that our enemies do n't walk right over us .	A temporary fortification built by troops in the field ; a defensive earthwork in the field .	noun	hypernym-based	Billy 's out building some fieldwork so that our enemies do n't walk right over us . What is the definition of fieldwork?	Work done in the field.
en.trial.46	harmonic	The harmonic polar line of an inflection point of a cubic curve is the component of the polar conic other than the tangent line .	pleasant to hear ; harmonious ; melodious	adjective	paraphrastic;synonym/antonym-based	The harmonic polar line of an inflection point of a cubic curve is the component of the polar conic other than the tangent line . What is the definition of harmonic?	Of or pertaining to a polar polar line.
en.trial.47	dividend	In `` 42 ÷ 3 '' the dividend is the 42 .	A number or expression that is to be divided by another .	noun	hypernym-based	In `` 42 ÷ 3 '' the dividend is the 42 . What is the definition of dividend?	The number of digits in a number, such as a number of digits in a commutative expression.
en.trial.48	fantasy	Is not this something more than fantasy ?	That which comes from one 's imagination .	noun	paraphrastic	Is not this something more than fantasy ? What is the definition of fantasy?	A fictitious or imaginary idea.
en.trial.49	nearly	'Since Heidi 's been here , delightful things have happened nearly every day . '	In close approximation ; almost , virtually .	adverb	paraphrastic;synonym/antonym-based 	'Since Heidi 's been here , delightful things have happened nearly every day . ' What is the definition of nearly?	Nearly ; very close to.
en.trial.50	thirsty	I am thirsty for knowledge .	Craving something .	adjective	paraphrastic	I am thirsty for knowledge . What is the definition of thirsty?	Having a strong desire for something.
en.trial.51	divorce	The radical group voted to divorce itself from the main faction and start an independent movement .	To separate something that was connected .	verb	hypernym-based	The radical group voted to divorce itself from the main faction and start an independent movement . What is the definition of divorce?	To separate, to separate.
en.trial.52	garrulity	She delivered herself of a great number of original reflections . It was the most charming garrulity he had ever heard .	The state or characteristic of being garrulous .	noun	morphological	She delivered herself of a great number of original reflections . It was the most charming garrulity he had ever heard . What is the definition of garrulity?	The quality of being garrulous ; a lack of discipline or discipline.
en.trial.53	substrate	This definition [ of `` tool '' ] is not simple , but contains several elements . The tool must not be part of the animal 's body ( a beak is not a tool ) ; the user must manipulate the tool in some way for it to realise its function ; and , finally , a tool can not be attached to the substrate . This is a fairly clear definition , but does seem to produce some rather arbitrary distinctions ( Hansell 1987b ) . The spider Dinopis , for example , makes a small web which it holds in its legs , thrusting it down on passing ants . This is a tool , but all other webs , however complex , are not since they are anchored to the substrate . The woodpecker finch that uses a fine stick held in the beak to extract insect prey from wood , is a tool user , but a shrike that impales an insect on a thorn still attached to the bush is not .	A surface on which an organism grows , or to which an organism or an item is attached .	noun	hypernym-based	This definition [ of `` tool '' ] is not simple , but contains several elements . The tool must not be part of the animal 's body ( a beak is not a tool ) ; the user must manipulate the tool in some way for it to realise its function ; and , finally , a tool can not be attached to the substrate . This is a fairly clear definition , but does seem to produce some rather arbitrary distinctions ( Hansell 1987b ) . The spider Dinopis , for example , makes a small web which it holds in its legs , thrusting it down on passing ants . This is a tool , but all other webs , however complex , are not since they are anchored to the substrate . The woodpecker finch that uses a fine stick held in the beak to extract insect prey from wood , is a tool user , but a shrike that impales an insect on a thorn still attached to the bush is not . What is the definition of substrate?	The substance that supports a plant or animal, such as a body or a web.
en.trial.54	impregnation	Oil-shales are often the last relics of a former impregnation with petroleum ; they are associated with phenomena—such as the intrusive asphaltites or manjacks—common to petroliferous regions , but in many cases the parent oilfields , the sources of the former impregnation , are things of the past .	An ore deposit , with indefinite boundaries , consisting of rock impregnated with ore .	noun	hypernym-based	Oil-shales are often the last relics of a former impregnation with petroleum ; they are associated with phenomena—such as the intrusive asphaltites or manjacks—common to petroliferous regions , but in many cases the parent oilfields , the sources of the former impregnation , are things of the past . What is the definition of impregnation?	The process of causing something to become contaminated.
en.trial.55	seriocomic	In the N-Town Passion Play I , Lucifer is an implied presenter of the play and an implied controller of its events . He addresses the audience directly and confidentially in an extraordinary 124-line adoxograph which is part social satire and part seriocomic plea for our commitment to his suzerainty	Having both serious and comedic qualities or tendencies .	adjective	paraphrastic	In the N-Town Passion Play I , Lucifer is an implied presenter of the play and an implied controller of its events . He addresses the audience directly and confidentially in an extraordinary 124-line adoxograph which is part social satire and part seriocomic plea for our commitment to his suzerainty What is the definition of seriocomic?	Characteristic of a seriocome
en.trial.56	late	Her late husband had left her well provided for .	Deceased , dead	adjective	synonym/antonym-based	Her late husband had left her well provided for . What is the definition of late?	Having died ; dead.
en.trial.57	guesser	'Then , believe me , you 're a pretty slick guesser . '	A person who guesses ; especially someone who can make a reasonable prediction from little evidence .	noun	hypernym-based 	'Then , believe me , you 're a pretty slick guesser . ' What is the definition of guesser?	One who guesses.
en.trial.58	indentation	an indentation of one em	A measure of the distance from the flush line	noun	hypernym-based	an indentation of one em What is the definition of indentation?	A notch or groove in a surface.
en.trial.59	watercolour	I 'm not a big fan of watercolour ; I much prefer oil painting .	This kind of painting as a genre .	noun	paraphrastic	I 'm not a big fan of watercolour ; I much prefer oil painting . What is the definition of watercolour?	A type of paint, typically a deep red or yellow, that is used for drawing, painting, or drawing by water.
en.trial.60	landed	landed gentry	In possession of land .	adjective	paraphrastic	landed gentry What is the definition of landed?	Having settled in a country.
en.trial.61	fillip	The outline could apply to most of the self-effacing , increasingly inward-looking comedies written and directed by , and it certainly describes `` , '' an agreeably meandering exercise that brings some clever French New Wave fillips and structural repetitions to Hong 's characteristically boozy party .	Something that excites or stimulates .	noun	paraphrastic	The outline could apply to most of the self-effacing , increasingly inward-looking comedies written and directed by , and it certainly describes `` , '' an agreeably meandering exercise that brings some clever French New Wave fillips and structural repetitions to Hong 's characteristically boozy party . What is the definition of fillip?	A brief, sharp, piercing, or piercing sound.
en.trial.62	jejune	I went to the cinema not for entertainment , but for cinematography . For it was only by studying the precise rake of extra-long pans , the trajectory of tracking shots and the jejune emotional appeal of the jump-cut , that I could add to the repertoire of my own internal shoots .	Naive ; simplistic .	adjective	synonym/antonym-based	I went to the cinema not for entertainment , but for cinematography . For it was only by studying the precise rake of extra-long pans , the trajectory of tracking shots and the jejune emotional appeal of the jump-cut , that I could add to the repertoire of my own internal shoots . What is the definition of jejune?	Of or pertaining to the jejunum.
en.trial.63	landslide	The candidate won by a landslide .	A vote won by a wide or overwhelming majority .	noun	hypernym-based	The candidate won by a landslide . What is the definition of landslide?	A large number or amount.
en.trial.64	landmark	He called the overthrow of Iraqi dictator Saddam Hussein and the recent elections in Afghanistan landmark events in the history of liberty .	A major event or discovery .	noun	hypernym-based	He called the overthrow of Iraqi dictator Saddam Hussein and the recent elections in Afghanistan landmark events in the history of liberty . What is the definition of landmark?	Having a significant significance, or a significant significance.
en.trial.65	snort	She snorted with laughter .	To make a snort ; to exhale roughly through the nose .	verb	morphological;paraphrastic	She snorted with laughter . What is the definition of snort?	To exhale through the nose.
en.trial.66	hear	I was deaf , and now I can hear .	To perceive sounds through the ear .	verb	hypernym-based	I was deaf , and now I can hear . What is the definition of hear?	To be able to listen.
en.trial.67	divorce	A ship captain can marry couples , but can not divorce them .	To legally dissolve a marriage between two people .	verb	paraphrastic	A ship captain can marry couples , but can not divorce them . What is the definition of divorce?	To break up a marriage.
en.trial.68	jot	For mark you , Tavy , the artist 's work is to show us ourselves as we really are . Our minds are nothing but this knowledge of ourselves ; and he who adds a jot to such knowledge creates new mind as surely as any woman creates new men .	A small amount , bit ; the smallest amount .	noun	hypernym-based	For mark you , Tavy , the artist 's work is to show us ourselves as we really are . Our minds are nothing but this knowledge of ourselves ; and he who adds a jot to such knowledge creates new mind as surely as any woman creates new men . What is the definition of jot?	A small amount of something ; a small amount of something added.
en.trial.69	overcook	The runner overcooked it on the first lap , and ended up finishing last .	To do something to excess ; to overdo .	verb	paraphrastic;synonym/antonym-based 	The runner overcooked it on the first lap , and ended up finishing last . What is the definition of overcook?	To cook too much.
en.trial.70	migrate	Many groups had migrated to western Europe from the plains of eastern Europe .	To change one 's geographic pattern of habitation .	verb	paraphrastic	Many groups had migrated to western Europe from the plains of eastern Europe . What is the definition of migrate?	To move from one place to another, especially to a new place.
en.trial.71	intimate	He intimated that we should leave before the argument escalated .	To suggest or disclose ( something ) discreetly .	verb	hypernym-based	He intimated that we should leave before the argument escalated . What is the definition of intimate?	To make a suggestion or suggestion.
en.trial.72	agreeable	an agreeable person	Pleasing , either to the mind or senses ; pleasant ; grateful .	adjective	hypernym-based;synonym/antonym-based	an agreeable person What is the definition of agreeable?	characterized by or characterized by goodwill
en.trial.73	wed	They will wed in the summer .	To take each other as a spouse .	verb	paraphrastic	They will wed in the summer . What is the definition of wed?	To marry.
en.trial.74	topaz	Although there are dozens of different types of gems , among the best known and most important are diamond , ruby and sapphire , emerald and other gem forms of the mineral beryl , chrysoberyl , tanzanite , tsavorite , topaz and jade .	An often clear , yellowish-brown gemstone cut from this .	noun	hypernym-based	Although there are dozens of different types of gems , among the best known and most important are diamond , ruby and sapphire , emerald and other gem forms of the mineral beryl , chrysoberyl , tanzanite , tsavorite , topaz and jade . What is the definition of topaz?	A yellowish-brown mineral consisting of a hydrated form of feldspar, occurring as a crystalline crystal.
en.trial.75	finger	Alladad Khan , left alone , dandled unhandily his child in unfatherly arms . He wanted to finger his moustache , but could not .	To poke , probe , feel , or fondle with a finger or fingers .	verb	paraphrastic	Alladad Khan , left alone , dandled unhandily his child in unfatherly arms . He wanted to finger his moustache , but could not . What is the definition of finger?	To touch with the fingers.
en.trial.76	lineage	They traced the ancient lineages of two species to reveal the insects ' lengthy history of asexual reproduction .	Descent in a line from a common progenitor ; progeny ; descending line of offspring or ascending line of parentage .	noun	hypernym-based;synonym/antonym-based	They traced the ancient lineages of two species to reveal the insects ' lengthy history of asexual reproduction . What is the definition of lineage?	A sequence of related species, especially of a species that has been inherited from a parent.
en.trial.77	ride	pimp my ride	A vehicle .	noun	synonym/antonym-based	pimp my ride What is the definition of ride?	a person's swagger
en.trial.78	leathery	The beef jerky was tough and leathery .	Having the consistency , feel , or texture of leather .	adjective	paraphrastic	The beef jerky was tough and leathery . What is the definition of leathery?	Resembling leather ; resembling leather.
en.trial.79	flick	The fourth seed was dominating her 20-year-old opponent with a series of stinging groundstrokes and athletic drive-volleys , striking again in game five when Paszek flicked a forehand pick-up into the tramlines .	A powerful underarm volley shot .	noun	hypernym-based	The fourth seed was dominating her 20-year-old opponent with a series of stinging groundstrokes and athletic drive-volleys , striking again in game five when Paszek flicked a forehand pick-up into the tramlines . What is the definition of flick?	To move with a quick, quick motion.
en.trial.80	blind	a blind path	Of a place , having little or no visibility .	adjective	paraphrastic	a blind path What is the definition of blind?	not paved or paved
en.trial.81	alternation	the alternation of day and night	The reciprocal succession of ( normally two ) things in time or place ; the act of following and being followed by turns ; alternate succession , performance , or occurrence	noun	hypernym-based;synonym/antonym-based	the alternation of day and night What is the definition of alternation?	the act of changing from one state or condition to another
en.trial.82	haste	We were running late so we finished our meal in haste .	Speed ; swiftness ; dispatch .	noun	synonym/antonym-based	We were running late so we finished our meal in haste . What is the definition of haste?	Speed, urgency.
en.trial.83	muddle	The muddle of nervous speech he uttered did not have much meaning .	A mixture ; a confusion ; a garble .	noun	synonym/antonym-based	The muddle of nervous speech he uttered did not have much meaning . What is the definition of muddle?	A confused or confused state.
en.trial.84	foreskin	I always liked an open fire , '' an open wound , suppuration of silent words from somewhere , a long line of fathers foreskinning for all they were worth , unknown , unsaid , alone in ice-cold space as we 're all alone in the absence of God with only His mother , the mother of God , out there in black face , alone herself , the queen of the world ...	To remove the foreskin	verb	paraphrastic	I always liked an open fire , '' an open wound , suppuration of silent words from somewhere , a long line of fathers foreskinning for all they were worth , unknown , unsaid , alone in ice-cold space as we 're all alone in the absence of God with only His mother , the mother of God , out there in black face , alone herself , the queen of the world ... What is the definition of foreskin?	To cover with forensic skin.
en.trial.85	erasure	bisexual erasure	A tendency to ignore or conceal an element of society .	noun	paraphrastic	bisexual erasure What is the definition of erasure?	The act of erasing ; the removal of something that is no longer useful or useful.
en.trial.86	handful	Knap the tongs together about a handful from the bottom .	A hand 's breadth ; four inches .	noun	paraphrastic	Knap the tongs together about a handful from the bottom . What is the definition of handful?	A small amount.
en.trial.87	rhythmicity	Breathing typically has a high degree of rhythmicity .	The quality or state of having a rhythm	noun	morphological	Breathing typically has a high degree of rhythmicity . What is the definition of rhythmicity?	The property of being rhythmic.
en.trial.88	appearance	His sudden appearance surprised me .	The act of appearing or coming into sight ; the act of becoming visible to the eye .	noun	paraphrastic	His sudden appearance surprised me . What is the definition of appearance?	The act of appearing ; the act of appearing.
en.trial.89	disgraceful	Mr. Cooke at once began a tirade against the residents of Asquith for permitting a sandy and generally disgraceful condition of the roads . So roundly did he vituperate the inn management in particular , and with such a loud flow of words , that I trembled lest he should be heard on the veranda .	Bringing or warranting disgrace ; shameful .	adjective	paraphrastic;synonym/antonym-based 	Mr. Cooke at once began a tirade against the residents of Asquith for permitting a sandy and generally disgraceful condition of the roads . So roundly did he vituperate the inn management in particular , and with such a loud flow of words , that I trembled lest he should be heard on the veranda . What is the definition of disgraceful?	Offensive to morality ; causing shame.
en.trial.90	allegation	She put forth several allegations regarding her partner in hopes of discrediting his actions .	An assertion , especially an accusation , not necessarily based on facts .	noun	hypernym-based	She put forth several allegations regarding her partner in hopes of discrediting his actions . What is the definition of allegation?	A statement or statement that is made to support or deny a claim or claim.
en.trial.91	verb	The InfiniBand verbs , which are closely modeled in the `` Gen2 '' interface , provide the functional specification for the operations that should be allowed on an InfiniBand compliant adapter .	A named command that performs a specific operation on an object .	noun	hypernym-based	The InfiniBand verbs , which are closely modeled in the `` Gen2 '' interface , provide the functional specification for the operations that should be allowed on an InfiniBand compliant adapter . What is the definition of verb?	A word that is used to describe a function or action.
en.trial.92	attritional	a prolonged attritional battle	Of or pertaining to attrition .	adjective	morphological	a prolonged attritional battle What is the definition of attritional?	involving or characterized by resistance
