id	Targets	Context	Definition	POS	Type
en.trial.16	obtain	His mother then is mortal , but his Sire / He who obtains the monarchy of Heav'n , / And what will he not do to advance his Son ?	To hold ; to keep , possess or occupy .	verb	synonym/antonym-based
en.trial.17	mayonnaise	I grew up thinking that the blue and white Miracle Whip salad dressing jar in the fridge held the same substance the rest of the world knew as mayonnaise . / Now I know that mayonnaise is something entirely different .	A dressing made from vegetable oil , raw egg yolks and seasoning , used on salads , with french fries , in sandwiches etc .	noun	hypernym-based
en.trial.18	rogue	`` ... No rogue e'er felt the halter draw , with a good opinion of the law , and perhaps my own detestation of the law arises from my having frequently broken it . [ ... ] ''	A scoundrel , rascal or unprincipled , deceitful , and unreliable person .	noun	hypernym-based
en.trial.19	flare	During assembly of a flare tube fitting , a flare nut is used to secure the flared tubing 's tapered end to the also tapered fitting , producing a pressure-resistant , leak-tight seal .	A widening of an object with an otherwise roughly constant width .	noun	hypernym-based
en.trial.20	borderline	I expected him to be super boring but he was actually borderline funny !	nearly ; not entirely but nevertheless to a great extent	adverb	synonym/antonym-based;paraphrastic
en.trial.21	coal	Just as the camp-fire died down to just coals , with no flames to burn the marshmallows , someone dumped a whole load of wood on , so I gave up and went to bed .	A glowing or charred piece of coal , wood , or other solid fuel .	noun	hypernym-based
en.trial.22	clumsy	It is a clumsy solution , but it might work for now .	Not elegant or well-planned , lacking tact or subtlety .	adjective	paraphrastic
en.trial.23	melee	Within this melee of intersections between English and Cantonese , the students , being themselves bilingually fluent , were able to navigate with perfect ease in communicative contexts where the provenance of a certain term or expression matters little .	Any confused , disorganised , disordered or chaotic situation .	noun	hypernym-based
en.trial.24	ulterior	Both citerior and ulterior locations ( and corresponding contact locations ) are marked similarly . Complex prepositions with mua 'front ' and tua 'back ' can denote citerior and ulterior locations respectively , while tafa 'side ' can denote either citerior or ulterior locations .	Situated beyond , or on the farther side .	adjective	paraphrastic
en.trial.25	lemony	We were served a lemony cheesecake for dessert .	Resembling or characteristic of lemons , especially in terms of aroma , taste or colour .	adjective	morphological
en.trial.26	lull	To lull him soft a sleepe	To cause to rest by soothing influences ; to compose ; to calm	verb	paraphrastic;synonym/antonym-based
en.trial.27	belt	He belted down a shot of whisky .	To drink quickly , often in gulps .	verb	hypernym-based
en.trial.28	triangulation	Even though triangulation is used in quantitative paradigm for confirmation and generalization of a research , Barbour ( 1998 ) does not disregard the notion of triangulation in qualitative paradigm and she states the need to define triangulation from a qualitative research 's perspective in each paradigm . For example , in using triangulation of several data sources in quantitative research , any exception may lead to a disconfirmation of the hypothesis where exceptions in qualitative research are dealt to modify the theories and are fruitful .	The use of three ( or more ) researchers to interview the same people or to evaluate the same evidence to reduce the impact of individual bias .	noun	paraphrastic
en.trial.29	bully	a bully horse	Very good .	adjective	paraphrastic
en.trial.30	forgiving	And I receive your forgiveness only from you . A group 's promises and forgivings are nothing more than the sum of its individual members ' promises and forgivings .	An act of forgiveness .	noun	hypernym-based
en.trial.31	maggot	Drop and give me fifty , maggot .	A worthless person .	noun	hypernym-based
en.trial.32	timid	John 's a very timid person . I 'll doubt he 'll be brave enough to face his brother .	Lacking in courage or confidence .	adjective	paraphrastic
en.trial.33	dead	He stopped dead .	Suddenly and completely .	adverb	synonym/antonym-based
en.trial.34	sophistication	the sophistication of drugs	The act of sophisticating ; adulteration .	noun	Hypernym-based;synonym/antonym-based
en.trial.35	dentistry	Some provision should be made for the truly suffering poor , and also for our present students of dentistry to learn something about dental surgery before commencing a profession which has almost become a science .	The field of medicine concerned with the study , diagnosis and treatment of conditions of the teeth and oral cavity .	noun	hypernym-based
en.trial.36	layover	We had a layover while waiting to change planes , so we stretched our legs .	A break between stages of a journey .	noun	hypernym-based
en.trial.37	forrard	The old chap who had just come off the look-out , had returned forrard again , and I was alone on that part of the deck .	Forward .	adverb	synonym/antonym-based
en.trial.38	chef	Third time he was out of luckHe tripped up and got cheffed	To stab with a knife , to shank .	verb	paraphrastic
en.trial.39	vital	Challenger breathed two or three times with enormous gulps , his lungs roaring as he drew in the vital gas .	Necessary to the continuation of life ; being the seat of life ; being that on which life depends .	adjective	paraphrastic
en.trial.40	enduring	It could be only long years of privations and endurings of hardships that could enable the Esquimaux to traverse over those icy regions with the facilities they have learned to practise	endurance	noun	synonym/antonym-based
en.trial.41	mafia	the digital mafia	An entity which attempts to control a specified arena .	noun	hypernym-based
en.trial.42	end-to-end	The end-to-end trip takes about forty minutes .	From one end to the other .	adjective	paraphrastic
en.trial.43	overcall	Knowledge of the ultrasound findings is important , and appreciating the fetal ultrasound may often undercall or ( more often ) overcall anomalies .	To diagnose a condition that does not , in fact , exist .	verb	hypernym-based
en.trial.44	boffin	— Well , last year I used to have a friend Charley [ Charley was in the top sets for English , mathematics and French ] but this year he does n't speak to me any more and every time I see him he 's hanging around with boffins like . When I go round to his house , now and again , he 's always got his ' O ' level and ' A ' level books open and he 's always concentrating on his work . Hanging around with boffins . / — What are boffins ? / — People who work . Stay in all the time . Never go out , go down the town or nothin . And always get good letters home and pats on the back by teachers .	A person with specialized knowledge or skills , especially one who is socially awkward ; an intellectual ; a smart person .	noun	hypernym-based
en.trial.45	fieldwork	Billy 's out building some fieldwork so that our enemies do n't walk right over us .	A temporary fortification built by troops in the field ; a defensive earthwork in the field .	noun	hypernym-based
en.trial.46	harmonic	The harmonic polar line of an inflection point of a cubic curve is the component of the polar conic other than the tangent line .	pleasant to hear ; harmonious ; melodious	adjective	paraphrastic;synonym/antonym-based
en.trial.47	dividend	In `` 42 ÷ 3 '' the dividend is the 42 .	A number or expression that is to be divided by another .	noun	hypernym-based
en.trial.48	fantasy	Is not this something more than fantasy ?	That which comes from one 's imagination .	noun	paraphrastic
en.trial.49	nearly	'Since Heidi 's been here , delightful things have happened nearly every day . '	In close approximation ; almost , virtually .	adverb	paraphrastic;synonym/antonym-based 
en.trial.50	thirsty	I am thirsty for knowledge .	Craving something .	adjective	paraphrastic
en.trial.51	divorce	The radical group voted to divorce itself from the main faction and start an independent movement .	To separate something that was connected .	verb	hypernym-based
en.trial.52	garrulity	She delivered herself of a great number of original reflections . It was the most charming garrulity he had ever heard .	The state or characteristic of being garrulous .	noun	morphological
en.trial.53	substrate	This definition [ of `` tool '' ] is not simple , but contains several elements . The tool must not be part of the animal 's body ( a beak is not a tool ) ; the user must manipulate the tool in some way for it to realise its function ; and , finally , a tool can not be attached to the substrate . This is a fairly clear definition , but does seem to produce some rather arbitrary distinctions ( Hansell 1987b ) . The spider Dinopis , for example , makes a small web which it holds in its legs , thrusting it down on passing ants . This is a tool , but all other webs , however complex , are not since they are anchored to the substrate . The woodpecker finch that uses a fine stick held in the beak to extract insect prey from wood , is a tool user , but a shrike that impales an insect on a thorn still attached to the bush is not .	A surface on which an organism grows , or to which an organism or an item is attached .	noun	hypernym-based
en.trial.54	impregnation	Oil-shales are often the last relics of a former impregnation with petroleum ; they are associated with phenomena—such as the intrusive asphaltites or manjacks—common to petroliferous regions , but in many cases the parent oilfields , the sources of the former impregnation , are things of the past .	An ore deposit , with indefinite boundaries , consisting of rock impregnated with ore .	noun	hypernym-based
en.trial.55	seriocomic	In the N-Town Passion Play I , Lucifer is an implied presenter of the play and an implied controller of its events . He addresses the audience directly and confidentially in an extraordinary 124-line adoxograph which is part social satire and part seriocomic plea for our commitment to his suzerainty	Having both serious and comedic qualities or tendencies .	adjective	paraphrastic
en.trial.56	late	Her late husband had left her well provided for .	Deceased , dead	adjective	synonym/antonym-based
en.trial.57	guesser	'Then , believe me , you 're a pretty slick guesser . '	A person who guesses ; especially someone who can make a reasonable prediction from little evidence .	noun	hypernym-based 
en.trial.58	indentation	an indentation of one em	A measure of the distance from the flush line	noun	hypernym-based
en.trial.59	watercolour	I 'm not a big fan of watercolour ; I much prefer oil painting .	This kind of painting as a genre .	noun	paraphrastic
en.trial.60	landed	landed gentry	In possession of land .	adjective	paraphrastic
en.trial.61	fillip	The outline could apply to most of the self-effacing , increasingly inward-looking comedies written and directed by , and it certainly describes `` , '' an agreeably meandering exercise that brings some clever French New Wave fillips and structural repetitions to Hong 's characteristically boozy party .	Something that excites or stimulates .	noun	paraphrastic
en.trial.62	jejune	I went to the cinema not for entertainment , but for cinematography . For it was only by studying the precise rake of extra-long pans , the trajectory of tracking shots and the jejune emotional appeal of the jump-cut , that I could add to the repertoire of my own internal shoots .	Naive ; simplistic .	adjective	synonym/antonym-based
en.trial.63	landslide	The candidate won by a landslide .	A vote won by a wide or overwhelming majority .	noun	hypernym-based
en.trial.64	landmark	He called the overthrow of Iraqi dictator Saddam Hussein and the recent elections in Afghanistan landmark events in the history of liberty .	A major event or discovery .	noun	hypernym-based
en.trial.65	snort	She snorted with laughter .	To make a snort ; to exhale roughly through the nose .	verb	morphological;paraphrastic
en.trial.66	hear	I was deaf , and now I can hear .	To perceive sounds through the ear .	verb	hypernym-based
en.trial.67	divorce	A ship captain can marry couples , but can not divorce them .	To legally dissolve a marriage between two people .	verb	paraphrastic
en.trial.68	jot	For mark you , Tavy , the artist 's work is to show us ourselves as we really are . Our minds are nothing but this knowledge of ourselves ; and he who adds a jot to such knowledge creates new mind as surely as any woman creates new men .	A small amount , bit ; the smallest amount .	noun	hypernym-based
en.trial.69	overcook	The runner overcooked it on the first lap , and ended up finishing last .	To do something to excess ; to overdo .	verb	paraphrastic;synonym/antonym-based 
en.trial.70	migrate	Many groups had migrated to western Europe from the plains of eastern Europe .	To change one 's geographic pattern of habitation .	verb	paraphrastic
en.trial.71	intimate	He intimated that we should leave before the argument escalated .	To suggest or disclose ( something ) discreetly .	verb	hypernym-based
en.trial.72	agreeable	an agreeable person	Pleasing , either to the mind or senses ; pleasant ; grateful .	adjective	hypernym-based;synonym/antonym-based
en.trial.73	wed	They will wed in the summer .	To take each other as a spouse .	verb	paraphrastic
en.trial.74	topaz	Although there are dozens of different types of gems , among the best known and most important are diamond , ruby and sapphire , emerald and other gem forms of the mineral beryl , chrysoberyl , tanzanite , tsavorite , topaz and jade .	An often clear , yellowish-brown gemstone cut from this .	noun	hypernym-based
en.trial.75	finger	Alladad Khan , left alone , dandled unhandily his child in unfatherly arms . He wanted to finger his moustache , but could not .	To poke , probe , feel , or fondle with a finger or fingers .	verb	paraphrastic
en.trial.76	lineage	They traced the ancient lineages of two species to reveal the insects ' lengthy history of asexual reproduction .	Descent in a line from a common progenitor ; progeny ; descending line of offspring or ascending line of parentage .	noun	hypernym-based;synonym/antonym-based
en.trial.77	ride	pimp my ride	A vehicle .	noun	synonym/antonym-based
en.trial.78	leathery	The beef jerky was tough and leathery .	Having the consistency , feel , or texture of leather .	adjective	paraphrastic
en.trial.79	flick	The fourth seed was dominating her 20-year-old opponent with a series of stinging groundstrokes and athletic drive-volleys , striking again in game five when Paszek flicked a forehand pick-up into the tramlines .	A powerful underarm volley shot .	noun	hypernym-based
en.trial.80	blind	a blind path	Of a place , having little or no visibility .	adjective	paraphrastic
en.trial.81	alternation	the alternation of day and night	The reciprocal succession of ( normally two ) things in time or place ; the act of following and being followed by turns ; alternate succession , performance , or occurrence	noun	hypernym-based;synonym/antonym-based
en.trial.82	haste	We were running late so we finished our meal in haste .	Speed ; swiftness ; dispatch .	noun	synonym/antonym-based
en.trial.83	muddle	The muddle of nervous speech he uttered did not have much meaning .	A mixture ; a confusion ; a garble .	noun	synonym/antonym-based
en.trial.84	foreskin	I always liked an open fire , '' an open wound , suppuration of silent words from somewhere , a long line of fathers foreskinning for all they were worth , unknown , unsaid , alone in ice-cold space as we 're all alone in the absence of God with only His mother , the mother of God , out there in black face , alone herself , the queen of the world ...	To remove the foreskin	verb	paraphrastic
en.trial.85	erasure	bisexual erasure	A tendency to ignore or conceal an element of society .	noun	paraphrastic
en.trial.86	handful	Knap the tongs together about a handful from the bottom .	A hand 's breadth ; four inches .	noun	paraphrastic
en.trial.87	rhythmicity	Breathing typically has a high degree of rhythmicity .	The quality or state of having a rhythm	noun	morphological
en.trial.88	appearance	His sudden appearance surprised me .	The act of appearing or coming into sight ; the act of becoming visible to the eye .	noun	paraphrastic
en.trial.89	disgraceful	Mr. Cooke at once began a tirade against the residents of Asquith for permitting a sandy and generally disgraceful condition of the roads . So roundly did he vituperate the inn management in particular , and with such a loud flow of words , that I trembled lest he should be heard on the veranda .	Bringing or warranting disgrace ; shameful .	adjective	paraphrastic;synonym/antonym-based 
en.trial.90	allegation	She put forth several allegations regarding her partner in hopes of discrediting his actions .	An assertion , especially an accusation , not necessarily based on facts .	noun	hypernym-based
en.trial.91	verb	The InfiniBand verbs , which are closely modeled in the `` Gen2 '' interface , provide the functional specification for the operations that should be allowed on an InfiniBand compliant adapter .	A named command that performs a specific operation on an object .	noun	hypernym-based
en.trial.92	attritional	a prolonged attritional battle	Of or pertaining to attrition .	adjective	morphological
en.trial.93	quantity	This bag would normally costs $ 497.50 for a quantity of 250 , at a price of $ 1.99 per piece .	A specific measured amount .	noun	hypernym-based
en.trial.94	short	38 short suits fit me right off the rack .	A short version of a garment in a particular size .	noun	hypernym-based
en.trial.95	ten	tens of thousands of voters	An inexact quantity , typically understood to be between 20 and 100 .	noun	paraphrastic
en.trial.96	cream	I take my coffee with two cream and three sugar .	A portion of cream , such as the amount found in a creamer .	noun	paraphrastic
en.trial.97	passing	her passing deformity	Pre-eminent , excellent , extreme .	adjective	synonym/antonym-based
en.trial.98	reconciliation	He longed for reconciliation with his estranged father , but painful memories made him feel unready to do so .	The re-establishment of friendly relations ; conciliation , rapprochement .	noun	hypernym-based;synonym/antonym-based
en.trial.99	compliant	Tendon is compliant compared to bone .	Willing to comply ; submissive ; willing to do what someone wants .	adjective	paraphrastic;synonym/antonym-based
en.trial.100	idiosyncratic	I 'm not saying that Kaufman 's film will be enshrined as a classic , as those Kubrick films are . It 's too idiosyncratic and demanding for that : many viewers will be thinking of ending it halfway through	Peculiar to a specific individual ; eccentric .	adjective	paraphrastic;synonym/antonym-based 
en.trial.101	tight	We 've grown tighter over the years .	Intimately friendly .	adjective	hypernym-based
en.trial.102	noise	we on earth , with undiscording voice , May rightly answer that melodious noise	Music , in general ; a concert ; also , a company of musicians ; a band .	noun	synonym/antonym-based
en.trial.103	caravan	`` Would they could have foretold that my caravan would have been cut up by the Shinwaris almost within shadow of the Pass ! '' grunted the Eusufzai agent of a Rajputana trading-house whose goods had been feloniously diverted into the hands of other robbers just across the Border , and whose misfortunes were the laughing-stock of the bazar . `` Ohé , priest , whence come you and whither do you go ? ''	A convoy or procession of travelers , their vehicles and cargo , and any pack animals , especially camels crossing a desert .	noun	hypernym-based
en.trial.104	nigger	Now to locate the portion of the machine which contains the `` nigger . ''	An impurity in the covering of an electrical conductor which serves to make a partial short circuit , and thus becomes sufficiently heated to burn and destroy the insulation .	noun	hypernym-based
en.trial.105	drive	I drive to work every day .	To travel by operating a wheeled motorized vehicle .	verb	hypernym-based
en.trial.106	picturesquely	The red-painted farm-houses , peculiar to Norway , lay picturesquely scattered on the higher points of the undulating valley , where men and women were busy hay-making .	In a picturesque manner .	adverb	morphological
en.trial.107	breathless	By that stage Sevilla were down to 10 men and Jorge Sampaoli , their manager , had been sent to the stands as a breathless encounter started to spiral out of control .	That makes one hold one 's breath ( with excitement etc . ) .	adjective	paraphrastic
en.trial.108	nonsexual	These primitive , nonsexual plants constitute the subkingdom Protophyta .	Asexual ; lacking sexual reproductive capabilities ; neuter .	adjective	synonym/antonym-based;paraphrastic
en.trial.109	withe	Question . Did you hear of the circumstances of William Davis having been whipped on the 5th day of December , the day before the cutting took place ? Answer Yes , sir ; I did that evening , when he came home . Q . Did you examine where he had been withed ? A . Yes , sir .	To beat with withes .	verb	hypernym-based
en.trial.110	acute	A more conservative approach , particularly if your author is a skilled computer user , would be to replace the problem characters with simple words or codes that are guaranteed to transfer successfully between computers . For example , you could replace é with e-acute if that particular character is causing problems . The author could then do a search and replace to change all instances of e-acute back to é before publication .	After a letter of the alphabet : having an acute accent .	adjective	paraphrastic
en.trial.111	protect	This antivirus package will protect your computer from hackers .	To keep safe ; to defend ; to guard ; to prevent harm coming to .	verb	paraphrastic;synonym/antonym-based
en.trial.112	autumn	autumn leaves	Of or relating to autumn ; autumnal	adjective	morphological;synonym/antonym-based
en.trial.113	catch	When the program catches an exception , this is recorded in the log file .	To handle an exception .	verb	hypernym-based
en.trial.114	prefix	The string `` abra '' is both a prefix and a suffix of the string `` abracadabra '' .	An initial segment of a string of characters .	noun	hypernym-based
en.trial.115	annihilate	An atom bomb can annihilate a whole city .	To reduce to nothing , to destroy , to eradicate .	verb	hypernym-based;synonym/antonym-based
en.trial.116	horary	horary , or soon decaying , fruits of summer	Having a duration of just an hour ; short-lived .	adjective	paraphrastic;synonym/antonym-based
en.trial.117	grape	Aw graped my way out i ' the dark , An ' down the stairs aw scrafflel 'd	To grope .	verb	synonym/antonym-based
en.trial.118	blossom	This beauty , in the blossom of my youth , / When my first fire knew no adulterate incense , / Nor I no way to flatter , but my fondness ; / [ ... ] long did I love this lady , / Long was my travail , long my trade to win her ; / With all the duty of my soul , I served her .	A blooming period or stage of development ; something lovely that gives rich promise .	noun	paraphrastic
en.trial.119	runny	runny honey	Fluid ; capable of flowing .	adjective	synonym/antonym-based;paraphrastic
en.trial.120	previous	He is no better than the previous Prime Minister .	Prior ; occurring before something else , either in time or order .	adjective	synonym/antonym-based;paraphrastic
en.trial.121	cornice	Looking to the east we could see Api and the mountains of west Nepal , shapely snow peaks in the distance , while in the immediate foreground , much lower but still dramatic , were the peaks of Panch Chuli IV and V ( III was hidden by the lip of a huge cornice ) , Telkot and Nagling , all of them unclimbed , all steep and challenging .	An overhanging edge of snow on a ridge or the crest of a mountain and along the sides of gullies .	noun	hypernym-based
en.trial.122	very	He proposed marriage in the same restaurant , at the very table where they first met .	The same ; identical .	adjective	synonym/antonym-based
en.trial.123	obliged	I 'm greatly obliged for your help with this problem .	Grateful or indebted because of a favor done .	adjective	hypernym-based
en.trial.124	cover-up	Truthfulness means no lies and no cover-ups . Compassion means being kind and helpful to others . Forbearance means being able to tolerate and suffer , and not fight back .	An attempt to conceal or disguise something , especially a wrongdoing or a mistake .	noun	hypernym-based
en.trial.125	version	Upgrade to the latest version for new features and bug fixes .	A particular revision ( of software , firmware , CPU , etc . ) .	noun	hypernym-based
en.trial.126	southbound	The truck raced southbound , then careened into the ditch .	Toward the south .	adverb	paraphrastic
en.trial.127	chancellor	In some of the states , as New York , Virginia , and South Carolina , the equity court is a distinct tribunal , having its appropriate judge , or chancellor , and officers .	The chief judge of a court of chancery ( that is , one exercising equity jurisdiction ) .	noun	hypernym-based
en.trial.128	chilling	It was a chilling story , but the children enjoyed it .	Causing mild fear .	adjective	paraphrastic
en.trial.129	dynamic	The environment is dynamic , changing with the years and the seasons .	Changing ; active ; in motion .	adjective	synonym/antonym-based
en.trial.130	lesson	The accident was a good lesson to me .	Something that serves as a warning or encouragement .	noun	paraphrastic
en.trial.131	sameness	O to sail to sea in a ship ! / To leave this steady unendurable land , / To leave the tiresome sameness of the streets , the sidewalks and the houses , / To leave you O you solid motionless land , and entering a ship , / To sail and sail and sail !	A tiring lack of variety ; monotony .	noun	paraphrastic;synonym/antonym-based
en.trial.132	blown	Cattle are said to be blown when gorged with green food which develops gas .	distended , swollen or inflated	adjective	synonym/antonym-based
en.trial.133	impinge	Nothing in the next-door world of Dachau impinged on the great winter cycle of Beethoven chamber music played in Munich .	To have an effect upon , especially a negative one .	verb	paraphrastic
en.trial.134	different	Irregular bedtimes may disrupt healthy brain development in young children , according to a study of intelligence and sleeping habits . ¶ Going to bed at a different time each night affected girls more than boys , but both fared worse on mental tasks than children who had a set bedtime , researchers found .	Not the same ; exhibiting a difference .	adjective	synonym/antonym-based;paraphrastic
en.trial.135	decently	a decently high salary	To a reasonable or acceptable degree .	adverb	paraphrastic
en.trial.136	secular	The skewed distribution of productivity gains is thus less a new phenomenon than a secular trend .	Continuing over a long period of time , long-term .	adjective	paraphrastic;synonym/antonym-based
en.trial.137	transcription	These frame tale interludes frequently include transcriptions of Italian folk songs .	An adaptation of a composition .	noun	hypernym-based
en.trial.138	eyed	That she had all the abstracted and nervous manner of one who is on the eve of some bold and hazardous step , which it has required no common struggle to resolve upon , would have been obvious to the lynx-eyed Fagin	Having the specified kind or number of eyes .	adjective	paraphrastic
en.trial.139	abdominal	abdominal muscles	Of or pertaining to the abdomen ; ventral .	adjective	morphological;synonym/antonym-based
en.trial.140	tighten	Please tighten that screw a quarter-turn .	To make tighter .	verb	morphological
en.trial.141	runner	Is that old Mercedes on the forecourt a runner ? / No , it has no gearbox .	An automobile ; a working or driveable automobile .	noun	synonym/antonym-based;hypernym-based
en.trial.142	klutz	`` Out of [ one abortion doctor 's ] first six months of work , there are nine malpractice suits ... After it was apparent the guy was a klutz , they kept using him , and trying to cover for him , because they could n't find another provider . ''	A clumsy or stupid person .	noun	hypernym-based
en.trial.143	starlet	I have a little golden dream That haunts me night and day , And like a starlet 's golden beam Lights up my darksome way .	A small star .	noun	hypernym-based
en.trial.144	suggestion	Traffic signs seem to be more of a suggestion than an order .	Something suggested ( with subsequent adposition being for )	noun	paraphrastic
en.trial.145	about	To my mind , transportation engineering is similar to flying in the 1930s — it has been about for some time but it has taken the present economic jolt to shake it out of its infancy , in the same way that the war started the development of flying to its current stage .	In existence ; being in evidence ; apparent .	adjective	paraphrastic;synonym/antonym-based
en.trial.146	noisy	the noisy crowd .	Making a noise , especially a loud unpleasant sound	adjective	paraphrastic
en.trial.147	truly	That is truly all I know .	Honestly , genuinely , in fact , really .	adverb	synonym/antonym-based
en.trial.148	time-out	I 'm going to take a brief time-out from this job .	A break from a tense , heated or stressful situation ( often enforced , sometimes as a disciplinary measure ) ; a cooling-off period .	noun	hypernym-based
en.trial.149	curler	The captain sent a curler into the top corner of the net .	A pass or a shot of the ball which swerves .	noun	hypernym-based
en.trial.150	caveat	If a midfielder and a defender are acquired by 1 September then will consider United 's summer in the market almost a success . The one caveat is that the Dutchman wished to have finished strengthening the squad before the start of the season .	A qualification or exemption .	noun	synonym/antonym-based
en.trial.151	drift	Now thou knowest my drift .	The tendency of an act , argument , course of conduct , or the like ; object aimed at or intended ; intention ; hence , also , import or meaning of a sentence or discourse ; aim .	noun	synonym/antonym-based;hypernym-based
en.trial.152	modestly	The man bowed modestly and left the dinner table .	In a modest manner .	adverb	morphological
en.trial.153	indirect	In an effort to beat the traffic jams , they opted to take an indirect route to their destination .	Not involving the quickest , shortest , or most convenient path	adjective	paraphrastic
en.trial.154	deplorable	Poor children are often accused of having deplorable manners , when they are , in fact , simply responding to society in ways that mirror how society treats them .	Deserving strong condemnation ; shockingly bad , wretched .	adjective	paraphrastic
en.trial.155	sardonyx	The large chalice at right is carved from a single chunk of sardonyx , a kind of onyx . Its gilded rim and base are decorated with tiny enamels depicting a host of popular saints , including Nicephorus ( farthest left on rim ) , a Ninth Century patriarch and opponent of a religious movement to destroy icons .	A gemstone having bands of red sard ; a variety of onyx or chalcedony .	noun	hypernym-based
en.trial.156	inside	The robbery was planned by the security guard : it was an inside job .	Originating from , arranged by , or being someone inside an organisation .	adjective	paraphrastic
en.trial.157	pizzicato	`` Trapeze '' begins with pizzicatos that plunge into a circuslike cacophony with rapid trills , busy , clashing textures and motion in every direction .	A note that is played pizzicato	noun	hypernym-based
en.trial.158	paternoster	A paternoster is any style of hook rig where the hook ( s ) are on droppers above a fixed sinker . One or two hooks are used on a paternoster rig . The droppers are tied using dropper loops tied directly in the line . The twisted dropper is an ideal knot as it stands out at right angles to the line .	A tackle rig with a heavy sinker at the end of the line , and one or more hooks on traces at right angles spaced above the sinker .	noun	hypernym-based
en.trial.159	prostitution	The television advertising job was a prostitution of the talents of one of the great writers of the century .	Debasement for profit or impure motives .	noun	hypernym-based
en.trial.160	buckler	The target or buckler was carried by the heavy armed foot , it answered to the scutum of the Romans ; its form was sometimes that of a rectangular parallelogram , but more commonly had it 's bottom rounded off ; it was generally convex , being curved in it 's breadth .	A shield resembling the Roman scutum . In modern usage , a smaller variety of shield is usually implied by this term .	noun	hypernym-based
en.trial.161	forthwith	Let ther be Light , said God , and forthwith Light , / Ethereal , first of things , quintessence pure , / Sprung from the Deep , [ ... ]	Without delay ; immediately .	adverb	synonym/antonym-based
en.trial.162	perfection	The system runs to perfection .	The quality or state of being perfect or complete , so that nothing substandard remains ; the highest attainable state or degree of excellence	noun	paraphrastic
en.trial.163	burning	The burnings continued all day .	A fire .	noun	synonym/antonym-based
en.trial.164	worldwide	A large meteorite impact would cause worldwide extinction of life .	Spanning the world ; global .	adjective	paraphrastic;synonym/antonym-based
en.trial.165	speckless	There was never a millionaire who had more speckless white suits than I had , though it 's a matter almost of routine for officers to go dirty on anything but the swell liners .	spotless , perfectly clean	adjective	paraphrastic;synonym/antonym-based
en.trial.166	company	it was with a distinctly fallen countenance that his father hearkened to his mother 's parenthetical request to `` 'bide hyar an ' company leetle Moses whilst I be a-milkin ' the cow . ''	To accompany , keep company with .	verb	synonym/antonym-based
en.trial.167	dead-end	a dead-end street	Going nowhere ; blocked .	adjective	paraphrastic;synonym/antonym-based
en.trial.168	dread	my visit to the doctor is filling me with dread	Great fear in view of impending evil ; fearful apprehension of danger ; anticipatory terror .	noun	hypernym-based
